country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
Niger,924,0,60,753,111,0,0,5949,24095961
Cyprus,923,0,17,561,345,10,0,95349,1206392
Costa Rica,903,0,10,592,301,3,0,21929,5088953
Equatorial Guinea,903,0,10,22,871,0,0,854,1397254
Venezuela,882,0,10,262,610,2,0,697691,28444376
Zambia,866,0,7,302,557,1,0,19432,18321393
Paraguay,836,0,11,256,569,0,0,21987,7122661
Burkina Faso,812,0,52,669,91,0,0,0,20833816
Andorra,762,0,51,639,72,3,0,3750,77252
Uruguay,749,0,20,594,135,4,0,36537,3472430
Haiti,734,71,25,21,688,0,3,2519,11386865
Georgia,723,2,12,495,216,6,0,45707,3989972
Diamond Princess,712,0,13,651,48,4,0,0,0
Jordan,684,0,9,457,218,5,0,156663,10191845
San Marino,658,0,41,235,382,1,0,3779,33923
Malta,599,0,6,468,125,1,0,56224,441416
Chad,588,0,58,186,344,0,0,0,16368402
Sierra Leone,585,0,35,205,345,0,0,0,7957977
Channel Islands,558,0,45,508,5,0,0,5342,173685
Jamaica,534,5,9,181,344,0,0,9178,2959765
Tanzania,509,0,21,183,305,7,0,0,59527001
Nepal,487,30,3,49,435,1,0,117465,29076092
South Sudan,481,0,4,4,473,0,0,3356,11178970
Congo,469,0,16,137,316,0,0,0,5501846
Réunion,449,0,1,411,37,2,0,17200,894609
Taiwan,441,0,7,408,26,0,0,70338,23812157
CAR,436,0,0,18,418,0,0,11294,4820066
Palestine,423,0,2,346,75,0,0,44876,5087326
Madagascar,405,0,2,131,272,1,0,5670,27605453
Ethiopia,399,0,5,123,271,0,0,69519,114622829
Cabo Verde,356,0,3,95,258,0,0,892,555311
Togo,354,0,12,118,224,0,0,14767,8255653
Isle of Man,336,0,24,303,9,2,0,4353,84984
Mauritius,332,0,10,322,0,0,0,98075,1271542
Montenegro,324,0,9,314,1,2,0,10167,628058
Vietnam,324,0,0,266,58,2,0,275000,97241403
Rwanda,320,0,0,217,103,0,0,54400,12913795
Nicaragua,279,0,17,199,63,0,0,0,6615686
Sao Tome and Principe,251,0,8,4,239,0,0,175,218686
French Guiana,249,0,1,137,111,0,0,0,297751
Liberia,240,0,23,131,86,0,0,0,5043542
Eswatini,220,0,2,112,106,0,0,4994,1158822
Myanmar,199,0,6,108,85,0,0,16550,54369777
Yemen,197,0,33,5,159,0,0,120,29748378
Martinique,192,0,14,91,87,0,0,0,375296
Faeroe Islands,187,0,0,187,0,0,0,9084,48843
Mauritania,173,0,5,7,161,0,0,2583,4634928
Mozambique,162,0,0,48,114,0,0,7063,31149023
Uganda,160,0,0,66,94,0,0,81682,45562477
Guadeloupe,155,0,13,109,33,3,0,2866,400117
Gibraltar,151,0,0,146,5,0,0,5833,33692
Brunei,141,0,1,136,4,2,0,18010,437013
Mongolia,141,1,0,28,113,27,0,12153,3272228
Benin,135,0,3,61,71,0,0,26792,12084945
Guyana,127,0,10,57,60,3,0,1329,786139
Bermuda,125,0,9,80,36,2,0,5784,62302
Cambodia,123,0,0,122,1,0,0,15830,16692685
Cayman Islands,121,0,1,55,65,0,0,7959,65635
Trinidad and Tobago,116,0,8,108,0,0,0,2805,1398999
Aruba,101,0,3,95,3,4,0,2048,106717
Bahamas,97,0,11,44,42,1,0,1910,392826
Monaco,97,0,4,90,3,1,0,0,39211
Barbados,90,0,7,70,13,4,0,4438,287337
Liechtenstein,82,0,1,55,26,0,0,900,38116
Sint Maarten,77,0,15,59,3,1,0,437,42821
Malawi,72,0,3,27,42,1,0,1803,19070499
Libya,71,0,3,35,33,0,0,4351,6860692
French Polynesia,60,0,0,60,0,0,0,3686,280731
Angola,58,0,3,17,38,0,0,6136,32740203
Syria,58,0,3,36,19,0,0,0,17449901
Zimbabwe,51,0,4,18,29,0,0,28019,14838265
Macao,45,0,0,45,0,0,0,0,648331
Burundi,42,0,1,20,21,0,0,284,11847387
Saint Martin,40,0,3,33,4,1,0,0,38590
Eritrea,39,0,0,39,0,0,0,0,3540846
Comoros,34,0,1,8,25,0,0,0,867421
Botswana,29,0,1,19,9,0,0,14855,2346068
Antigua and Barbuda,25,0,3,19,3,1,0,183,97839
Gambia,24,0,1,13,10,0,0,1476,2408415
Timor-Leste,24,0,0,24,0,0,0,738,1315521
Grenada,22,0,0,17,5,4,0,3007,112466
Bhutan,21,0,0,6,15,0,0,14843,770656
Laos,19,0,0,14,5,0,0,5044,7263530
Belize,18,0,2,16,0,0,0,1363,396791
Fiji,18,0,0,15,3,0,0,1300,895730
Namibia,18,0,0,14,4,0,0,2586,2535571
New Caledonia,18,0,0,18,0,0,0,5454,285193
Saint Lucia,18,0,0,18,0,0,0,867,183536
St. Vincent Grenadines,18,0,0,14,4,0,0,175,110902
Curaçao,16,0,1,14,1,0,0,485,164020
Dominica,16,0,0,16,0,0,0,433,71967
Saint Kitts and Nevis,15,0,0,15,0,0,0,391,53158
Falkland Islands,13,0,0,13,0,0,0,426,3468
Turks and Caicos,12,0,1,10,1,0,0,109,38658
Vatican City,12,0,0,2,10,0,0,0,801
Montserrat,11,0,1,10,0,0,0,36,4992
Suriname,11,0,1,9,1,0,0,404,586049
Greenland,11,0,0,11,0,0,0,1767,56759
Seychelles,11,0,0,11,0,0,0,0,98280
MS Zaandam,9,0,2,0,7,0,0,0,0
British Virgin Islands,8,0,1,6,1,0,0,167,30209
Papua New Guinea,8,0,0,8,0,0,0,2402,8927298
Caribbean Netherlands,6,0,0,6,0,0,0,424,26196
St. Barth,6,0,0,6,0,0,0,0,9874
Western Sahara,6,0,0,6,0,0,0,0,595583
Anguilla,3,0,0,3,0,0,0,0,14988
Lesotho,1,0,0,0,1,0,0,0,2140374
Saint Pierre Miquelon,1,0,0,1,0,0,0,0,5797
China,82971,4,4634,78255,82,8,0,0,1439323776
